Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
CLBJ-9-1-Ro,Lespedeza procumbens,81812,54782,66.96%,26000,31.78%,9776,11.95%,May-25
DEJU-1-1-No,Lupinus arcticus,7866206,4525438,57.53%,3928204,49.94%,1832496,23.30%,May-25
DEJU-1-1-Rh,Lupinus arcticus,5366950,3000762,55.91%,1410734,26.29%,202124,3.77%,May-25
DEJU-1-1-Ro,Lupinus arcticus,6403024,5348680,83.53%,1859554,29.04%,8862,0.14%,May-25
DEJU-2-No,Lupinus arcticus,8445512,4541790,53.78%,3838118,45.45%,2453536,29.05%,May-25
DEJU-2-Rh,Lupinus arcticus,6308246,4787984,75.90%,3250932,51.53%,157420,2.50%,May-25
DEJU-2-Ro,Lupinus arcticus,9032560,7354382,81.42%,5013700,55.51%,117570,1.30%,May-25
DEJU-30-No,Alnus viridis,9904122,3928660,39.67%,475976,4.81%,4731824,47.78%,May-25
DEJU-30-Rh,Alnus viridis,3789600,2108922,55.65%,574212,15.15%,143138,3.78%,May-25
DEJU-30-Ro,Alnus viridis,5150182,3717202,72.18%,1467556,28.50%,72072,1.40%,May-25
DEJU-3-1-No,Lupinus arcticus,3461592,1876210,54.20%,1229806,35.53%,660072,19.07%,May-25
DEJU-31-No,Alnus viridis,28647358,19357174,67.57%,5662864,19.77%,5306306,18.52%,May-25
DEJU-3-1-Rh,Lupinus arcticus,183638,131616,71.67%,55586,30.27%,14276,7.77%,May-25
DEJU-31-Rh,Alnus viridis,12108728,10168788,83.98%,5159476,42.61%,30318,0.25%,May-25
DEJU-3-1-Ro,Lupinus arcticus,2653674,2161238,81.44%,1024544,38.61%,14582,0.55%,May-25
DEJU-31-Ro,Alnus viridis,4863738,3100466,63.75%,1315410,27.05%,81788,1.68%,May-25
DEJU-32-No,Alnus viridis,15040842,4826910,32.09%,1012498,6.73%,9546118,63.47%,May-25
DEJU-32-Rh,Alnus viridis,6338740,4509798,71.15%,2917546,46.03%,314408,4.96%,May-25
DEJU-32-Ro,Alnus viridis,8815284,5573348,63.22%,1806644,20.49%,875974,9.94%,May-25
DEJU-33-No,Alnus viridis,6808492,1995120,29.30%,208638,3.06%,3770616,55.38%,May-25
DEJU-33-Rh,Alnus viridis,2229048,1706828,76.57%,1223986,54.91%,19920,0.89%,May-25
DEJU-33-Ro,Alnus viridis,3752500,2378056,63.37%,628334,16.74%,130716,3.48%,May-25
DEJU-34-No,Alnus viridis,6826374,1756796,25.74%,319206,4.68%,3809156,55.80%,May-25
DEJU-34-Rh,Alnus viridis,5375568,3998392,74.38%,2014542,37.48%,31212,0.58%,May-25
DEJU-34-Ro,Alnus viridis,4555070,3535388,77.61%,1309302,28.74%,132974,2.92%,May-25
DEJU-35-No,Alnus viridis,13463788,6440668,47.84%,1467816,10.90%,6561654,48.74%,May-25
DEJU-35-Rh,Alnus viridis,2833648,1582472,55.85%,489542,17.28%,99414,3.51%,May-25
DEJU-35-Ro,Alnus viridis,6594296,4143264,62.83%,1495564,22.68%,20968,0.32%,May-25
DEJU-36-No,Lupinus arcticus,11711042,1518486,12.97%,778524,6.65%,8282856,70.73%,May-25
DEJU-36-Rh,Lupinus arcticus,8298412,6459160,77.84%,4019128,48.43%,63478,0.76%,May-25
DEJU-36-Ro,Lupinus arcticus,10873978,7393888,68.00%,1580204,14.53%,1614504,14.85%,May-25
DEJU-37-No,Lupinus arcticus,5041160,2249872,44.63%,1458328,28.93%,1429236,28.35%,May-25
DEJU-37-Rh,Lupinus arcticus,7584372,6018394,79.35%,1510204,19.91%,66054,0.87%,May-25
DEJU-37-Ro,Lupinus arcticus,6253378,5306308,84.86%,1120196,17.91%,22648,0.36%,May-25
DEJU-38-No,Lupinus arcticus,11028200,851278,7.72%,230304,2.09%,8581478,77.81%,May-25
DEJU-38-Rh,Lupinus arcticus,8401580,4801022,57.14%,1720446,20.48%,717348,8.54%,May-25
DEJU-38-Ro,Lupinus arcticus,13682228,12176584,89.00%,3129420,22.87%,7580,0.06%,May-25
DEJU-39-No,Lupinus arcticus,35499450,3030588,8.54%,1252844,3.53%,28685458,80.81%,May-25
DEJU-39-Rh,Lupinus arcticus,782522,652378,83.37%,459430,58.71%,8644,1.10%,May-25
DEJU-39-Ro,Lupinus arcticus,13218150,10875332,82.28%,6648880,50.30%,34778,0.26%,May-25
DEJU-40-No,Lupinus arcticus,18440662,1393196,7.56%,613132,3.32%,14502846,78.65%,May-25
DEJU-40-Rh,Lupinus arcticus,6968760,5560992,79.80%,2534774,36.37%,116190,1.67%,May-25
DEJU-40-Ro,Lupinus arcticus,7484720,6194698,82.76%,2924142,39.07%,39394,0.53%,May-25
DEJU-41-1-No,Lupinus arcticus,20142,10912,54.18%,4366,21.68%,4058,20.15%,May-25
DEJU-41-1-Rh,Lupinus arcticus,20072,12860,64.07%,4432,22.08%,2874,14.32%,May-25
DEJU-41-1-Ro,Lupinus arcticus,5638624,4540150,80.52%,1578922,28.00%,7616,0.14%,May-25
DEJU-4-1-No,Alnus viridis,10787130,6443416,59.73%,1857126,17.22%,3804464,35.27%,May-25
DEJU-4-1-Rh,Alnus viridis,862224,529646,61.43%,204328,23.70%,29136,3.38%,May-25
DEJU-4-1-Ro,Alnus viridis,1701448,1622030,95.33%,786378,46.22%,8208,0.48%,May-25
DEJU-42-No,Lupinus arcticus,15590732,1185822,7.61%,246780,1.58%,12151530,77.94%,May-25
DEJU-42-Rh,Lupinus arcticus,2981376,2192418,73.54%,1092488,36.64%,52746,1.77%,May-25
DEJU-42-Ro,Lupinus arcticus,6756972,5446868,80.61%,3751670,55.52%,59512,0.88%,May-25
DEJU-43-No,Lupinus arcticus,9564850,1448430,15.14%,816600,8.54%,6305806,65.93%,May-25
DEJU-43-Rh,Lupinus arcticus,6111860,4804206,78.60%,2651394,43.38%,165888,2.71%,May-25
DEJU-43-Ro,Lupinus arcticus,8625714,6924462,80.28%,4180172,48.46%,207970,2.41%,May-25
DEJU-44-No,Lupinus arcticus,4867296,1391326,28.59%,695102,14.28%,1811618,37.22%,May-25
DEJU-44-Rh,Lupinus arcticus,3968352,3077288,77.55%,1715440,43.23%,19352,0.49%,May-25
DEJU-44-Ro,Lupinus arcticus,3615314,2807664,77.66%,2062178,57.04%,15406,0.43%,May-25
DEJU-45-1-No,Lupinus arcticus,5922122,2368182,39.99%,1697138,28.66%,2590210,43.74%,May-25
DEJU-45-1-Rh,Lupinus arcticus,306510,222226,72.50%,158396,51.68%,6450,2.10%,May-25
DEJU-45-1-Ro,Lupinus arcticus,3551274,2548476,71.76%,2896554,81.56%,16020,0.45%,May-25
DEJU-46-No,Lupinus arcticus,88304,22832,25.86%,14112,15.98%,1326,1.50%,May-25
DEJU-46-Rh,Lupinus arcticus,77126,20090,26.05%,11928,15.47%,1734,2.25%,May-25
DEJU-46-Ro,Lupinus arcticus,3808162,2916922,76.60%,2061938,54.15%,78688,2.07%,May-25
DEJU-47-No,Lupinus arcticus,13683850,2889146,21.11%,1666266,12.18%,8583142,62.72%,May-25
DEJU-47-Rh,Lupinus arcticus,5388810,4498924,83.49%,3400568,63.10%,46904,0.87%,May-25
DEJU-47-Ro,Lupinus arcticus,16856948,14089806,83.58%,7553538,44.81%,1082912,6.42%,May-25
DEJU-48-No,Alnus viridis,5725050,2982012,52.09%,682846,11.93%,1874294,32.74%,May-25
